N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.31,1,0,1,0,1,0,1,0,0.16,0.034106,0,0.17196,0,0.31617,0,69.444,0,-1.8567,0,7.5184,0
600,8,0.06,1,0,1,0,1,0,1,0,0.31,0.013982,0,0.31467,0,0.065994,0,67.604,0,1.3054,0,5.5182,0
600,8,0.26,1,0,1,0,1,0,1,0,0.16,0.014006,0,0.17113,0,0.28417,0,65.109,0,-1.0901,0,7.4246,0
600,8,0.21,1,0,1,0,1,0,1,0,0.06,0.023978,0,0.062235,0,0.19985,0,74.693,0,-0.94874,0,5.4547,0
600,8,0.11,1,0,1,0,1,0,1,0,0.06,0.053972,0,0.049771,0,0.086846,0,111.14,0,-1.9532,0,5.514,0
600,8,0.31,1,0,1,0,1,0,1,0,0.06,0.034049,0,0.063473,0,0.32727,0,81.807,0,-0.69249,0,5.4558,0
600,8,0.16,1,0,1,0,1,0,1,0,0.21,0.013996,0,0.20189,0,0.14733,0,65.844,0,0.4548,0,1.5047,0
600,8,0.26,1,0,1,0,1,0,1,0,0.16,0.023998,0,0.16409,0,0.24967,0,67.233,0,0.30373,0,3.5221,0
600,8,0.11,1,0,1,0,1,0,1,0,0.21,0.014016,0,0.18152,0,0.10451,0,66.358,0,1.7926,0,5.4706,0
600,8,0.31,1,0,1,0,1,0,1,0,0.21,0.044005,0,0.20691,0,0.32467,0,70.589,0,-0.43535,0,5.4477,0
600,8,0.21,1,0,1,0,1,0,1,0,0.26,0.024102,0,0.27904,0,0.21491,0,66.529,0,-0.85168,0,7.4653,0
600,8,0.06,1,0,1,0,1,0,1,0,0.06,0.013951,0,0.05987,0,0.060794,0,70.99,0,1.2938,0,5.4612,0
600,8,0.06,1,0,1,0,1,0,1,0,0.31,0.033973,0,0.30031,0,0.063831,0,81.518,0,1.4109,0,7.5745,0
600,8,0.06,1,0,1,0,1,0,1,0,0.21,0.054008,0,0.21856,0,0.064283,0,103.07,0,0.070971,0,5.4323,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.05416,0,0.39312,0,0.25024,0,70.93,0,-0.95754,0,5.5028,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.033967,0,0.32837,0,0.26184,0,67.37,0,2.1531,0,7.5157,0
600,8,0.16,1,0,1,0,1,0,1,0,0.16,0.023969,0,0.15414,0,0.15018,0,68.94,0,-1.697,0,5.498,0
600,8,0.11,1,0,1,0,1,0,1,0,0.06,0.013984,0,0.06225,0,0.10906,0,69.044,0,1.5485,0,5.4866,0
600,8,0.31,1,0,1,0,1,0,1,0,0.31,0.053972,0,0.28677,0,0.31745,0,73.305,0,-0.55321,0,1.5038,0
600,8,0.21,1,0,1,0,1,0,1,0,0.26,0.013997,0,0.2379,0,0.18963,0,64.986,0,1.8863,0,7.4146,0
600,8,0.06,1,0,1,0,1,0,1,0,0.26,0.03407,0,0.26133,0,0.064363,0,81.644,0,-1.3561,0,7.4784,0
600,8,0.16,1,0,1,0,1,0,1,0,0.26,0.0039978,0,0.25828,0,0.16256,0,64.1,0,0.1313,0,7.4506,0
600,8,0.21,1,0,1,0,1,0,1,0,0.31,0.024016,0,0.33925,0,0.21207,0,66.15,0,0.55298,0,3.5118,0
600,8,0.21,1,0,1,0,1,0,1,0,0.31,0.043954,0,0.31196,0,0.21509,0,70.744,0,-0.46525,0,3.5115,0
600,8,0.16,1,0,1,0,1,0,1,0,0.06,0.053898,0,0.062512,0,0.1537,0,104.43,0,1.3856,0,7.5945,0
600,8,0.06,1,0,1,0,1,0,1,0,0.16,0.004005,0,0.16474,0,0.064565,0,64.376,0,0.2837,0,5.4838,0
600,8,0.11,1,0,1,0,1,0,1,0,0.16,0.034073,0,0.17012,0,0.12256,0,75.045,0,0.69793,0,7.594,0
600,8,0.11,1,0,1,0,1,0,1,0,0.16,0.054051,0,0.16669,0,0.11718,0,88.544,0,0.31734,0,5.523,0
600,8,0.21,1,0,1,0,1,0,1,0,0.31,0.0040068,0,0.35909,0,0.25467,0,64.058,0,-0.70972,0,5.5837,0
600,8,0.11,1,0,1,0,1,0,1,0,0.26,0.023973,0,0.2657,0,0.1155,0,68.888,0,0.04898,0,3.5094,0
600,8,0.21,1,0,1,0,1,0,1,0,0.06,0.043936,0,0.065211,0,0.21412,0,92.543,0,-0.19038,0,3.4878,0
600,8,0.11,1,0,1,0,1,0,1,0,0.26,0.014018,0,0.24419,0,0.10264,0,66.088,0,2.1493,0,7.4925,0
600,8,0.16,1,0,1,0,1,0,1,0,0.31,0.054092,0,0.33779,0,0.17445,0,76.076,0,-0.4493,0,5.5464,0
600,8,0.21,1,0,1,0,1,0,1,0,0.06,0.034014,0,0.064001,0,0.21737,0,82.489,0,0.88716,0,7.4197,0
600,8,0.36,1,0,1,0,1,0,1,0,0.11,0.054019,0,0.10336,0,0.34347,0,83.694,0,1.642,0,7.4282,0
