N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.094546,1,0,1,0,1,0,1,0,0.28329,0.0045884,0,0.32044,0,0.10398,0,64.227,0,-0.1423,0,5.0032,0
600,8,0.090499,1,0,1,0,1,0,1,0,0.27515,0.058587,0,0.28013,0,0.089096,0,92.182,0,1.377,0,5.0197,0
600,8,0.28136,1,0,1,0,1,0,1,0,0.17642,0.049049,0,0.17871,0,0.27066,0,74.945,0,1.2786,0,3.9176,0
600,8,0.11726,1,0,1,0,1,0,1,0,0.31057,0.06359,0,0.34046,0,0.11912,0,87.4,0,0.90301,0,4.0939,0
600,8,0.11856,1,0,1,0,1,0,1,0,0.29749,0.023706,0,0.32231,0,0.12957,0,68.164,0,-1.192,0,6.035,0
600,8,0.14974,1,0,1,0,1,0,1,0,0.25481,0.036456,0,0.23952,0,0.15668,0,71.738,0,0.15855,0,8.9333,0
600,8,0.30797,1,0,1,0,1,0,1,0,0.31247,0.016878,0,0.3303,0,0.31358,0,64.713,0,-0.99026,0,5.6124,0
600,8,0.30777,1,0,1,0,1,0,1,0,0.31262,0.049879,0,0.29355,0,0.26539,0,71.851,0,-1.0488,0,2.4334,0
600,8,0.28848,1,0,1,0,1,0,1,0,0.17257,0.040116,0,0.16255,0,0.24974,0,72.456,0,-1.8015,0,5.133,0
600,8,0.17901,1,0,1,0,1,0,1,0,0.22719,0.049881,0,0.21804,0,0.16596,0,76.637,0,1.8129,0,5.3602,0
600,8,0.34089,1,0,1,0,1,0,1,0,0.14444,0.044222,0,0.13968,0,0.3632,0,74.021,0,-1.4926,0,9.2797,0
600,8,0.073221,1,0,1,0,1,0,1,0,0.14194,0.051942,0,0.14293,0,0.075831,0,98.07,0,1.2912,0,7.0452,0
600,8,0.30775,1,0,1,0,1,0,1,0,0.26611,0.045361,0,0.26474,0,0.28126,0,69.792,0,0.57965,0,6.7767,0
600,8,0.33335,1,0,1,0,1,0,1,0,0.25287,0.051102,0,0.23654,0,0.31291,0,71.825,0,2.0039,0,6.6557,0
600,8,0.28929,1,0,1,0,1,0,1,0,0.18564,0.038965,0,0.19982,0,0.28124,0,70.339,0,-0.41335,0,2.658,0
600,8,0.11514,1,0,1,0,1,0,1,0,0.13723,0.016417,0,0.14238,0,0.12167,0,67.091,0,-1.1198,0,6.6439,0
600,8,0.068644,1,0,1,0,1,0,1,0,0.21346,0.038958,0,0.20881,0,0.069772,0,84.909,0,-1.467,0,6.7531,0
600,8,0.16259,1,0,1,0,1,0,1,0,0.13339,0.033472,0,0.13158,0,0.16371,0,73.37,0,2.0082,0,8.3694,0
600,8,0.33621,1,0,1,0,1,0,1,0,0.16294,0.066,0,0.14892,0,0.31327,0,81.65,0,-1.8074,0,5.8995,0
600,8,0.30143,1,0,1,0,1,0,1,0,0.14323,0.071886,0,0.14445,0,0.31031,0,87.405,0,-1.174,0,7.0256,0
600,8,0.21042,1,0,1,0,1,0,1,0,0.064515,0.039371,0,0.060341,0,0.19237,0,86.779,0,1.8194,0,5.312,0
